category,fname,prestime,Action_correct,Action_none,Action_wrong,Context_correct,Context_none,Context_wrong,Object_correct,Object_none,Object_wrong,Sensory_correct,Sensory_none,Sensory_wrong,KeyAction,KeyObject,KeyContext
communication,communication_arguing.png,33.3,1,1,3,1,4,0,1,2,2,1,4,0,0,0,0
hobby,hobby_juggling.png,33.3,3,1,1,4,1,0,0,3,2,1,4,0,0,0,0
cleaning,cleaning_shaving.png,33.3,0,4,1,0,4,1,0,3,2,2,3,0,0,0,0
communication,communication_handshaking.png,33.3,5,0,0,0,5,0,1,3,1,1,4,0,5,0,0
hobby,hobby_dancing.png,33.3,0,4,1,0,4,1,0,4,1,0,5,0,0,0,0
hobby,hobby_eating_hand1.png,33.3,2,2,1,1,4,0,0,3,2,0,5,0,0,0,0
locomotion,locomotion_riding_horse.png,33.3,0,4,1,2,2,1,4,0,1,2,3,0,0,4,1
locomotion,locomotion_climbing.png,33.3,1,4,0,1,3,1,1,3,1,3,2,0,1,1,1
food,food_whisking.png,33.3,1,4,0,1,3,1,1,2,2,2,3,0,0,0,0
locomotion,locomotion_diving.png,33.3,0,5,0,0,5,0,0,5,0,3,1,1,0,0,0
locomotion,locomotion_swimming1.png,33.3,0,5,0,0,5,0,0,4,1,2,3,0,0,0,0
cleaning,cleaning_brushingTeeth.png,33.3,0,3,2,0,5,0,0,3,2,1,4,0,0,0,0
locomotion,locomotion_skiing.png,33.3,5,0,0,2,3,0,4,1,0,1,4,0,5,4,2
cleaning,cleaning_cleaning_window2.png,33.3,0,3,2,0,4,1,3,1,1,1,4,0,0,0,0
locomotion,locomotion_skateboarding1.png,33.3,1,0,4,1,2,2,2,1,2,0,5,0,1,1,0
food,food_grocery_shopping.png,33.3,1,4,0,0,4,1,0,5,0,3,2,0,0,0,0
communication,communication_knocking_door.png,33.3,2,3,0,0,2,3,0,3,2,1,3,1,0,0,0
hobby,hobby_fishing.png,33.3,1,2,2,3,2,0,0,5,0,0,5,0,0,0,1
hobby,hobby_riding_carriage.png,33.3,0,5,0,0,5,0,1,2,2,1,3,1,0,0,0
communication,communication_phoning.png,33.3,4,1,0,1,4,0,3,2,0,1,3,1,1,1,0
cleaning,cleaning_applyingCream.png,33.3,0,2,3,0,5,0,0,5,0,1,4,0,0,0,0
food,food_eating_fork.png,33.3,1,4,0,2,2,1,1,4,0,1,4,0,0,0,1
hobby,hobby_playing_tennis.png,33.3,2,2,1,0,4,1,1,4,0,1,3,1,0,1,0
cleaning,cleaning_washing_face.png,33.3,0,5,0,0,5,0,0,4,1,0,5,0,0,0,0
communication,communication_waving.png,33.3,0,4,1,1,3,1,0,2,3,2,3,0,0,0,0
locomotion,locomotion_hiking1.png,33.3,2,2,1,1,4,0,3,2,0,1,4,0,1,1,1
food,food_seasoning.png,33.3,0,4,1,1,3,1,1,4,0,2,3,0,0,0,0
locomotion,locomotion_riding_bicycle.png,33.3,1,4,0,3,1,1,3,1,1,1,4,0,1,3,0
communication,communication_texting.png,33.3,3,2,0,3,2,0,4,1,0,1,4,0,0,0,0
hobby,hobby_fencing.png,33.3,1,4,0,1,4,0,0,4,1,1,4,0,0,0,0
hobby,hobby_collecting_mushrooms.png,33.3,0,5,0,0,4,1,0,5,0,2,3,0,0,0,0
communication,communication_writing_board2.png,83.3,4,0,1,2,3,0,3,2,0,3,2,0,2,3,0
cleaning,cleaning_cleaning_toilet.png,83.3,0,2,3,0,3,2,0,3,2,4,1,0,0,0,0
hobby,hobby_playing_golf2.png,83.3,4,0,1,5,0,0,4,1,0,4,1,0,3,4,0
cleaning,cleaning_blowdrying.png,83.3,2,0,3,2,3,0,1,2,2,2,3,0,2,0,2
food,food_peeling.png,83.3,2,0,3,1,0,4,0,3,2,0,5,0,0,0,1
hobby,hobby_playing_billards.png,83.3,3,2,0,2,3,0,4,1,0,1,4,0,1,4,1
food,food_toasting.png,83.3,2,1,2,4,1,0,0,0,5,1,4,0,0,0,3
locomotion,locomotion_surfing.png,83.3,0,4,1,2,2,1,0,5,0,1,4,0,0,0,1
locomotion,locomotion_skydiving.png,83.3,4,0,1,4,1,0,4,1,0,1,4,0,2,1,2
cleaning,cleaning_washing_car.png,83.3,4,1,0,3,2,0,5,0,0,0,5,0,1,3,0
food,food_drinking_glas.png,83.3,2,0,3,1,3,1,1,4,0,1,4,0,1,0,0
cleaning,cleaning_hoovering.png,83.3,3,0,2,2,1,2,3,0,2,4,1,0,2,2,2
hobby,hobby_kicking_football.png,83.3,5,0,0,3,2,0,3,2,0,4,1,0,3,1,2
food,food_eating_chopsticks.png,83.3,5,0,0,3,2,0,4,0,1,1,2,2,5,3,0
communication,communication_thumbsUp.png,83.3,5,0,0,2,3,0,4,1,0,1,3,1,5,2,0
communication,communication_crawling.png,83.3,5,0,0,1,3,1,1,3,1,2,3,0,4,1,0
locomotion,locomotion_rollerskating.png,83.3,0,1,4,4,1,0,0,5,0,0,5,0,0,0,0
